"type","version","basic__name","basic__rune__isrune","basic__rune__tier","basic__rune__type","basic__gold__base","basic__gold__total","basic__gold__sell","basic__gold__purchasable","basic__group","basic__description","basic__colloq","basic__plaintext","basic__consumed","basic__stacks","basic__depth","basic__consumeOnFull","basic__specialRecipe","basic__inStore","basic__hideFromAll","basic__requiredChampion","basic__requiredAlly","basic__stats__FlatHPPoolMod","basic__stats__rFlatHPModPerLevel","basic__stats__FlatMPPoolMod","basic__stats__rFlatMPModPerLevel","basic__stats__PercentHPPoolMod","basic__stats__PercentMPPoolMod","basic__stats__FlatHPRegenMod","basic__stats__rFlatHPRegenModPerLevel","basic__stats__PercentHPRegenMod","basic__stats__FlatMPRegenMod","basic__stats__rFlatMPRegenModPerLevel","basic__stats__PercentMPRegenMod","basic__stats__FlatArmorMod","basic__stats__rFlatArmorModPerLevel","basic__stats__PercentArmorMod","basic__stats__rFlatArmorPenetrationMod","basic__stats__rFlatArmorPenetrationModPerLevel","basic__stats__rPercentArmorPenetrationMod","basic__stats__rPercentArmorPenetrationModPerLevel","basic__stats__FlatPhysicalDamageMod","basic__stats__rFlatPhysicalDamageModPerLevel","basic__stats__PercentPhysicalDamageMod","basic__stats__FlatMagicDamageMod","basic__stats__rFlatMagicDamageModPerLevel","basic__stats__PercentMagicDamageMod","basic__stats__FlatMovementSpeedMod","basic__stats__rFlatMovementSpeedModPerLevel","basic__stats__PercentMovementSpeedMod","basic__stats__rPercentMovementSpeedModPerLevel","basic__stats__FlatAttackSpeedMod","basic__stats__PercentAttackSpeedMod","basic__stats__rPercentAttackSpeedModPerLevel","basic__stats__rFlatDodgeMod","basic__stats__rFlatDodgeModPerLevel","basic__stats__PercentDodgeMod","basic__stats__FlatCritChanceMod","basic__stats__rFlatCritChanceModPerLevel","basic__stats__PercentCritChanceMod","basic__stats__FlatCritDamageMod","basic__stats__rFlatCritDamageModPerLevel","basic__stats__PercentCritDamageMod","basic__stats__FlatBlockMod","basic__stats__PercentBlockMod","basic__stats__FlatSpellBlockMod","basic__stats__rFlatSpellBlockModPerLevel","basic__stats__PercentSpellBlockMod","basic__stats__FlatEXPBonus","basic__stats__PercentEXPBonus","basic__stats__rPercentCooldownMod","basic__stats__rPercentCooldownModPerLevel","basic__stats__rFlatTimeDeadMod","basic__stats__rFlatTimeDeadModPerLevel","basic__stats__rPercentTimeDeadMod","basic__stats__rPercentTimeDeadModPerLevel","basic__stats__rFlatGoldPer10Mod","basic__stats__rFlatMagicPenetrationMod","basic__stats__rFlatMagicPenetrationModPerLevel","basic__stats__rPercentMagicPenetrationMod","basic__stats__rPercentMagicPenetrationModPerLevel","basic__stats__FlatEnergyRegenMod","basic__stats__rFlatEnergyRegenModPerLevel","basic__stats__FlatEnergyPoolMod","basic__stats__rFlatEnergyModPerLevel","basic__stats__PercentLifeStealMod","basic__stats__PercentSpellVampMod","basic__maps__1","basic__maps__8","basic__maps__10","basic__maps__12","data__|","data__|__name","data__|__description","data__|__colloq","data__|__plaintext","data__|__requiredChampion","data__|__specialRecipe","data__|__stacks","data__|__consumed","data__|__consumeOnFull","data__|__inStore","data__|__hideFromAll","data__|__from__001","data__|__from__002","data__|__from__003","data__|__from__004","data__|__from__005","data__|__from__006","data__|__into__001","data__|__into__002","data__|__into__003","data__|__into__004","data__|__into__005","data__|__into__006","data__|__into__007","data__|__into__008","data__|__into__009","data__|__into__010","data__|__into__011","data__|__into__012","data__|__into__013","data__|__into__014","data__|__into__015","data__|__into__016","data__|__into__017","data__|__into__018","data__|__into__019","data__|__image__full","data__|__image__sprite","data__|__image__group","data__|__image__x","data__|__image__y","data__|__image__w","data__|__image__h","data__|__gold__base","data__|__gold__purchasable","data__|__gold__total","data__|__gold__sell","data__|__tags__001","data__|__tags__002","data__|__tags__003","data__|__tags__004","data__|__tags__005","data__|__tags__006","data__|__tags__007","data__|__tags__008","data__|__tags__009","data__|__tags__010","data__|__tags__011","data__|__tags__012","data__|__tags__013","data__|__maps__11","data__|__maps__12","data__|__maps__21","data__|__maps__22","data__|__stats__PercentAttackSpeedMod","data__|__stats__FlatPhysicalDamageMod","data__|__stats__PercentLifeStealMod","data__|__effect__Effect1Amount","data__|__effect__Effect2Amount","data__|__effect__Effect3Amount","data__|__effect__Effect4Amount","data__|__effect__Effect5Amount","data__|__effect__Effect6Amount","data__|__effect__Effect7Amount","data__|__effect__Effect8Amount","data__|__effect__Effect9Amount","data__|__effect__Effect10Amount","data__|__effect__Effect11Amount","data__|__effect__Effect12Amount","data__|__effect__Effect13Amount","data__|__effect__Effect14Amount","data__|__effect__Effect15Amount","data__|__effect__Effect16Amount","data__|__effect__Effect17Amount","data__|__effect__Effect18Amount","data__|__stats__FlatSpellBlockMod","data__|__stats__FlatArmorMod","data__|__stats__FlatMPPoolMod","data__|__stats__FlatMagicDamageMod","data__|__stats__FlatCritChanceMod","data__|__stats__PercentMovementSpeedMod","data__|__stats__FlatHPPoolMod","data__|__stats__FlatHPRegenMod","data__|__depth","data__|__stats__FlatMovementSpeedMod","groups__id","groups__MaxGroupOwnable","tree__header","tree__tags__001","tree__tags__002","tree__tags__003","tree__tags__004","tree__tags__005","tree__tags__006","tree__tags__007","tree__tags__008","tree__tags__009","tree__tags__010"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1033","Null-Magic Mantle","<mainText><stats><attention>25</attention> Magic Resist</stats></mainText><br>",";","Slightly increases Magic Resist","","","","","","","","","","","","","","3193","1057","3105","3211","3111","3140","6664","3155","4632","6662","","","","","","","","","","1033.png","item0.png","item","0","48","48","48","450","True","450","315","SpellBlock","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","DisabledOnFIRSTBLOODMode","-1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1035","Emberknife","<mainText><stats></stats>8% Omnivamp vs. Monsters<br><li><passive>Sear:</passive> Damaging Monsters burns them for <magicDamage>(60 + 30% Ability Power + 5% bonus Attack Damage + 2% bonus Health) magic damage</magicDamage> over 5 seconds.<li><passive>Challenging Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Challenging Smite</attention> and increases its damage to monsters. Challenging Smite marks champions for 4 seconds. During this time, you deal  <truedamage>48 - 125 (based on level)</truedamage> bonus true damage to them over 2.5 seconds on hit and take 20% reduced damage from them.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to 8 - 18 (based on level) mana per second when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText><br>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1035.png","item0.png","item","48","48","48","48","350","True","350","140","LifeSteal","SpellVamp","Jungle","","","","","","","","","","","True","False","True","False","","","","60","25","5","8","","","","","","","","","","","","","","","","","","","","","","","","","DoransItems","-1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1036","Long Sword","<mainText><stats><attention>10</attention> Attack Damage</stats></mainText><br>",";","Slightly increases Attack Damage","","","","","","","","","","","","","","3179","3071","3091","1053","3004","3035","3044","3046","3051","3814","3123","3133","3134","3155","6670","6692","","","","1036.png","item0.png","item","96","48","48","48","350","True","350","245","Damage","Lane","","","","","","","","","","","","True","True","True","False","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Elixir","-1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1037","Pickaxe","<mainText><stats><attention>25</attention> Attack Damage</stats></mainText><br>",";","Moderately increases Attack Damage","","","","","","","","","","","","","","6035","3077","6676","3031","3053","3139","3153","6029","3181","6333","6671","6672","6675","6695","","","","","","1037.png","item0.png","item","144","48","48","48","875","True","875","613","Damage","","","","","","","","","","","","","True","True","True","False","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GangplankRUpgrade01","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1038","B. F. Sword","<mainText><stats><attention>40</attention> Attack Damage</stats></mainText><br>",";bf","Greatly increases Attack Damage","","","","","","","","","","","","","","3026","3031","3072","3095","4403","","","","","","","","","","","","","","","1038.png","item0.png","item","192","48","48","48","1300","True","1300","910","Damage","","","","","","","","","","","","","True","True","True","False","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GangplankRUpgrade02","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1039","Hailblade","<mainText><stats></stats>8% Omnivamp vs. Monsters<br><li><passive>Sear:</passive> Damaging Monsters burns them for <magicDamage>(60 + 30% Ability Power + 5% bonus Attack Damage + 2% bonus Health) magic damage</magicDamage> over 5 seconds.<li><passive>Chilling Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Chilling Smite</attention> and increases its damage to monsters. When smiting champions Chilling Smite deals <truedamage>20 - 156 (based on level)</truedamage> true damage and steals 20% of their Move Speed for 2 seconds.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to 8 - 18 (based on level) mana per second when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br></mainText><br>",";jungle;Jungle","Provides damage against Monsters and Mana Regen in the Jungle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1039.png","item0.png","item","240","48","48","48","350","True","350","140","LifeSteal","SpellVamp","Jungle","","","","","","","","","","","True","False","True","False","","","","60","25","5","8","","","","","","","","","","","","","","","","","","","","","","","","","GangplankRUpgrade03","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042","Dagger","<mainText><stats><attention>12%</attention> Attack Speed</stats></mainText><br>",";","Slightly increases Attack Speed","","","","","","","","","","","","","","1043","3124","6677","3085","2015","3086","3006","3051","6670","","","","","","","","","","","1042.png","item0.png","item","288","48","48","48","300","True","300","210","AttackSpeed","","","","","","","","","","","","","True","True","True","False","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glory","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1043","Recurve Bow","<mainText><stats><attention>25%</attention> Attack Speed</stats><br><li><passive>Steeltipped:</passive> Attacks apply <physicalDamage>15 physical damage</physicalDamage> <OnHit>On-Hit</OnHit>.</mainText><br>",";","Greatly increases Attack Speed","","","","","","","","1042","1042","","","","","3115","3153","","","","","","","","","","","","","","","","","","1043.png","item0.png","item","336","48","48","48","400","True","1000","700","AttackSpeed","OnHit","","","","","","","","","","","","True","True","True","False","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","GoldItems","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1052","Amplifying Tome","<mainText><stats><attention>20</attention> Ability Power</stats></mainText><br>",";amptome","Slightly increases Ability Power","","","","","","","","","","","","","","6616","3191","3003","3108","3113","3115","3116","3145","3504","3802","4632","3916","4629","4630","4635","4637","4642","","","1052.png","item0.png","item","384","48","48","48","435","True","435","305","SpellDamage","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","GuardianItems","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1053","Vampiric Scepter","<mainText><stats><attention>15</attention> Attack Damage<br><attention>10%</attention> Life Steal</stats></mainText><br>",";","Basic attacks restore Health","","","","","","","","1036","","","","","","3072","3074","3153","4403","6673","6692","","","","","","","","","","","","","","1053.png","item0.png","item","432","48","48","48","550","True","900","630","Damage","LifeSteal","","","","","","","","","","","","True","True","True","False","","15","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","ItemGroupSwapToSummonerDot","-1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1054","Doran's Shield","<mainText><stats><attention>80</attention> Health</stats><br><li><passive>Focus:</passive> Attacks deal an additional <physicalDamage>5 physical damage</physicalDamage> to minions.<li><passive>Recovery:</passive> Restores <healing>6 Health</healing> every 5 seconds.<li><passive>Endure:</passive> Restores up to <healing>40 Health</healing> over 8 seconds after taking damage from a champion, large jungle monster, or epic jungle monster. Restoration increases when you are low Health.<br><br><rules><passive>Endure</passive> 66% effective when owned by Ranged champions or when taking damage from area of effect or periodic damage sources.</rules></mainText><br>",";dshield","Good defensive starting item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1054.png","item0.png","item","0","96","48","48","450","True","450","180","Health","HealthRegen","Lane","","","","","","","","","","","True","True","True","False","","","","8","5","40","0.66","","","","","","","","","","","","","","","","","","","","","80","1.2","","","ItemGroupSwapToSummonerFlash","-1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1055","Doran's Blade","<mainText><stats><attention>8</attention> Attack Damage<br><attention>80</attention> Health</stats><br><li><passive>Warmonger:</passive> Gain <lifeSteal>2.5% Omnivamp</lifeSteal>.<br><br><rules>Omnivamp is only 33% effective when dealing area of effect damage or damage through pets.</rules></mainText><br>",";dblade","Good starting item for attackers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1055.png","item0.png","item","48","96","48","48","450","True","450","180","Health","Damage","SpellVamp","Lane","","","","","","","","","","True","True","True","False","","8","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","ItemGroupSwapToSummonerHaste","-1","","","","","","","","","","",""
