,key,name,title,skins__name01,skins__name02,skins__name03,skins__name04,skins__name05,skins__name06,skins__name07,skins__name08,skins__name09,skins__name010,skins__name011,skins__name012,skins__name013,skins__name014,skins__name015,lore,allytips__001,allytips__002,allytips__003,allytips__004,allytips__005,enemytips__001,enemytips__002,enemytips__003,enemytips__004,tags__001,tags__002,partype,info__attack,info__defense,info__magic,info__difficulty,stats__hp,stats__hpperlevel,stats__mp,stats__mpperlevel,stats__movespeed,stats__armor,stats__armorperlevel,stats__spellblock,stats__spellblockperlevel,stats__attackrange,stats__hpregen,stats__hpregenperlevel,stats__mpregen,stats__mpregenperlevel,stats__attackdamage,stats__attackdamageperlevel,stats__attackspeedperlevel,stats__attackspeed,spells__Q,spells__Q_description,spells__W,spells__W_description,spells__E,spells__E_description,spells__R,spells__R_description,passive__name,passive__description,lore_gpe_0,lore_person_0,lore_gpe_1,lore_org_0,lore_object_0,lore_person_1,lore_norp_0,lore_person_2,lore_event_0,lore_person_3,lore_org_1,lore_norp_1,lore_norp_2,lore_org_2
46,16,Soraka,the Starchild,Dryad Soraka,Divine Soraka,Celestine Soraka,Reaper Soraka,Order of the Banana Soraka,Program Soraka,Star Guardian Soraka,Pajama Guardian Soraka,Winter Wonder Soraka,Dawnbringer Soraka,Nightbringer Soraka,Star Guardian Soraka Prestige Edition,,,,"A wanderer from the celestial dimensions beyond Mount Targon, Soraka gave up her immortality to protect the mortal races from their own more violent instincts. She endeavors to spread the virtues of compassion and mercy to everyone she meets—even healing those who would wish harm upon her. And, for all Soraka has seen of this world's struggles, she still believes the people of Runeterra have yet to reach their full potential.","Soraka is a powerful ally in battle, using her strong healing to keep the party moving forward.",You can use Wish on your allies from across the map to save them from otherwise fatal events.,Equinox can be used as a powerful zoning tool to keep enemies at bay.,,,Focus on attacking Soraka when she ever ventures to the frontline to heal her allies.,Take advantage of Soraka's long cooldown on Equinox if she uses it to harass.,It's easier to focus Soraka than the ally she is healing.,,Support,Mage,Mana,2,5,7,3,535.0,74,425.0,40.0,325,32,3.8,30.0,0.5,550,2.5,0.5,11.5,0.4,50.0,3.0,2.14,0.625,Starcall,"A star falls from the sky at the target location dealing magic damage and slowing enemies. If an enemy champion is hit by Starcall, Soraka recovers Health.",Astral Infusion,Soraka sacrifices a portion of her own health to heal another friendly champion.,Equinox,"Creates a zone at a location that silences all enemies inside. When the zone expires, all enemies still inside are rooted.",Wish,"Soraka fills her allies with hope, instantly restoring health to herself and all friendly champions.",Salvation,Soraka runs faster towards nearby low health allies.,,Mount Targon,,,,Soraka,,Runeterra,,,,,,
47,115,Ziggs,the Hexplosives Expert,Mad Scientist Ziggs,Major Ziggs,Pool Party Ziggs,Snow Day Ziggs,Master Arcanist Ziggs,Battle Boss Ziggs,Odyssey Ziggs,Sugar Rush Ziggs,Hextech Ziggs,,,,,,,"With a love of big bombs and short fuses, the yordle Ziggs is an explosive force of nature. As an inventor's assistant in Piltover, he was bored by his predictable life and befriended a mad, blue-haired bomber named Jinx. After a wild night on the town, Ziggs took her advice and moved to Zaun, where he now explores his fascinations more freely, terrorizing the chem-barons and regular citizens alike in his never ending quest to blow stuff up.",Even if you're far from a fight you can still help from afar with Mega Inferno Bomb.,Slowing your enemies with Hexplosive Minefield makes it easier to land other abilities.,Knocking yourself over walls with Satchel Charge can be great when chasing after or escaping from enemies.,,,Don't step on Ziggs' mines! They'll slow you and make it much easier for him to hit you with his other abiltiies.,Many of Ziggs' abilities have long cooldowns. Try catching him just after he's used his abilities.,"Ziggs' ultimate, Mega Inferno Bomb, deals more damage in the center of the explosion.",,Mage,,Mana,2,4,9,4,536.0,92,480.0,23.5,325,22,3.3,30.0,0.5,550,6.5,0.6,8.0,0.8,54.0,3.1,2.0,0.6559999999999999,Bouncing Bomb,Ziggs throws a bouncing bomb that deals magic damage.,Satchel Charge,"Ziggs flings an explosive charge that detonates after 4 seconds, or when this ability is activated again. The explosion deals magic damage to enemies, knocking them away. Ziggs is also knocked away, but takes no damage. Ziggs can use the Satchel to hexplode vulnerable enemy turrets.",Hexplosive Minefield,"Ziggs scatters proximity mines that detonate on enemy contact, dealing magic damage and slowing. Successive mine detonations on the same target deal reduced damage.",Mega Inferno Bomb,"Ziggs deploys his ultimate creation, the Mega Inferno Bomb, hurling it an enormous distance. Enemies in the primary blast zone take more damage than those farther away.",Short Fuse,"Periodically, Ziggs' next basic attack deals bonus magic damage. This cooldown is reduced whenever Ziggs uses an ability.",Piltover,Ziggs,,,,Jinx,,,,,,,,
48,8,Vladimir,the Crimson Reaper,Count Vladimir,Marquis Vladimir,Nosferatu Vladimir,Vandal Vladimir,Blood Lord Vladimir,Soulstealer Vladimir,Academy Vladimir,Dark Waters Vladimir,Nightbringer Vladimir,Cosmic Devourer Vladimir,,,,,,"A fiend with a thirst for mortal blood, Vladimir has influenced the affairs of Noxus since the empire's earliest days. In addition to unnaturally extending his life, his mastery of hemomancy allows him to control the minds and bodies of others as easily as his own. In the flamboyant salons of the Noxian aristocracy, this has enabled him to build a fanatical cult of personality around himself—while in the lowest back alleys, it allows him to bleed his enemies dry.","Transfusion instantly deals damage to the enemy before healing Vladimir, making it one of the best last hitting tools in the game.",Cast Hemoplague where it will afflict the most units.,"Sanguine Pool pops incoming missiles, so it can be used to dodge disables.",,,"Try to take Vladimir down before Hemoplague detonates, as it will heal him for each afflicted enemy Champion.",Making Vladimir use Sanguine Pool at the start of a fight will maximize the Health cost of the ability to him.,"Items that counter Health stacking, such as Liandry's Torment and Blade of the Ruined King, are very effective against Vladimir.",,Mage,,Crimson Rush,2,6,8,7,537.0,96,2.0,0.0,330,23,3.3,30.0,0.5,450,7.0,0.6,0.0,0.0,55.0,3.0,2.0,0.6579999999999999,Transfusion,"Vladimir steals life from the target enemy. When Vladimir's resource is full, Transfusion will benefit from massively increased damage and healing for a brief time.",Sanguine Pool,"Vladimir sinks into a pool of blood, becoming untargetable for 2 seconds. Additionally, enemies on the pool are slowed and Vladimir siphons life from them.",Tides of Blood,"Vladimir pays his own health to charge up a reservoir of blood which, when released, deals damage in the area around him but can be blocked by enemy units.",Hemoplague,"Vladimir infects an area with a virulent plague. Affected enemies take increased damage for the duration. After a few seconds, Hemoplague deals magic damage to infected enemies and heals Vladimir for each enemy Champion hit.",Crimson Pact,Every 30 points of bonus Health gives Vladimir 1 Ability Power and every 1 point of Ability Power gives Vladimir 1.6 bonus Health (does not stack with itself).,,Vladimir,,Noxus,,,Noxian,,,,,,,
49,526,Rell,the Iron Maiden,Battle Queen Rell,,,,,,,,,,,,,,,"The product of brutal experimentation at the hands of the Black Rose, Rell is a defiant, living weapon determined to topple Noxus. Her childhood was one of misery and horror, enduring unspeakable procedures to perfect and weaponize her magical control over metal... until she staged a violent escape, killing many of her captors in the process. Now branded as a criminal, Rell attacks Noxian soldiers on sight as she searches for survivors of her old “academy,” defending the meek while delivering violent death to her former overseers.",,,,,,,,,,Tank,,Mana,0,0,0,0,540.0,90,350.0,45.0,335,32,3.0,32.1,1.25,175,7.0,0.55,6.0,0.35,55.0,3.0,2.0,0.55,Shattering Strike,"Rell thrusts her lance to deal <magicDamage>magic damage</magicDamage> to units in a line, breaking their Shields.  The first unit hit additionally suffers <spellName>Break the Mold</spellName>'s defense steal. <br><br>If Rell is bound to an ally with <spellName>Attract and Repel</spellName>, they both recover health for each enemy champion hit by this spell.",Ferromancy: Crash Down,"<spellPassive>Passive:</spellPassive> Rell gains additional Move Speed while mounted and additional <scaleArmor>Armor</scaleArmor> and <scaleMR>Magic Resist</scaleMR> while armored.<br><br><spellActive>Active:</spellActive> Rell changes forms, casting a different spell based on form.<li> Mounted: Rell crashes down in her armor, knocking enemies up and gaining a large shield.</li><li> Armored: Rell forms her mount, gaining a burst of speed and flipping the next enemy she attacks.</li>",Attract and Repel,"Rell binds a piece of her Armor to another allied champion to grant them <scaleArmor>Armor</scaleArmor> and <scaleMR>Magic Resist</scaleMR> while near.<br><br>While she has an ally bound in this way, Rell can cast this ability without targeting an allied champion to snap the binding and <status>Stun</status> enemies caught in it.",Magnet Storm,"Rell explodes in a magnetic fury, violently <status>Pulling</status> nearby enemies towards herself. Then Rell constantly <status>Drags</status> nearby enemies towards herself for a short while, dealing <magicDamage>magic damage</magicDamage> over time.",Break the Mold,"Rell attacks slowly but steals her target's <scaleArmor>Armor</scaleArmor> and <scaleMR>Magic Resist</scaleMR> on hit, dealing bonus damage based on the amount stolen.",,Rell,,Noxus,academy,,Noxian,,,,,,,
50,203,Kindred,The Eternal Hunters,Shadowfire Kindred,Super Galaxy Kindred,Spirit Blossom Kindred,,,,,,,,,,,,,"Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his crushing jaws. Though interpretations of Kindred's nature vary across Runeterra, every mortal must choose the true face of their death.",Moving around between attacks while jungling will help you avoid damage and also generate more heals from Wolf's Frenzy.,Pick which Hunts you want to pursue carefully; getting many of them is the key to success as the game goes on.,Don't go in first to a large team fight. Wait for your teammates to initiate.,,,"Kindred is fragile - turn the pressure up on her, and she will be forced to play cautiously.",Clear the Hunts Wolf activates on jungle camps to slow down Kindred's damage output.,"When Kindred uses Lamb's Respite get inside, it stops all champions from dying.",,Marksman,,Mana,8,2,2,4,540.0,85,300.0,35.0,325,29,3.5,30.0,0.5,500,7.0,0.55,7.0,0.4,65.0,2.5,3.5,0.625,Dance of Arrows,Kindred tumbles and shoots up to three arrows at nearby targets.,Wolf's Frenzy,"Wolf enrages and attacks enemies around him.  Lamb passively gains stacks by moving and attacking. When fully charged, Lamb's next attack restores health.",Mounting Dread,"Lamb fires a carefully placed shot, slowing the target. If Lamb attacks the target two more times, her third attack instead directs Wolf to pounce on the enemy, savaging them for massive damage.",Lamb's Respite,"Lamb grants all living things inside a zone a respite from death. Until the effect ends, nothing can die. At the end, units are healed.",Mark of the Kindred,Kindred can mark targets to Hunt. Successfully completing a Hunt permanently empowers Kindred's basic abilities. Every 4 hunts completed also increases Kindred's basic attack range.,,Kindred,,,,Wolf,,Runeterra,,,,,,
51,518,Neeko,the Curious Chameleon,Winter Wonder Neeko,Star Guardian Neeko,Star Guardian Neeko Prestige Edition,Shan Hai Scrolls Neeko,,,,,,,,,,,,"Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where—or who—Neeko might be, but those who intend to do her harm will soon witness her true colors revealed, and feel the full power of her primordial spirit magic unleashed upon them.",You can set her passive to use hotkeys in the options menu. The default is Shift+F1~F5,"Try to use Inherent Glamour sparingly, ineffective uses will put enemies on the alert.",,,,Standing behind minions against Neeko is very dangerous as Tangle-Barbs become stronger.,Pop Blossom's warning visuals are invisible if Neeko is disguised.,,,Mage,Support,Mana,1,1,9,5,540.0,90,450.0,30.0,340,21,4.0,30.0,0.5,550,7.5,0.75,7.0,0.7,48.0,2.5,3.5,0.625,Blooming Burst,Neeko throws a seed dealing magic damage. The seed blooms again on hitting champions or killing units.,Shapesplitter,Neeko passively deals bonus magic damage every third attack. Neeko can activate to send a clone in a direction.,Tangle-Barbs,"Neeko slings a tangle that damage and root everything it passes through. If the tangle kills an enemy or passes through a champion, it becomes larger, faster, and roots for longer.",Pop Blossom,"After a short preparation, Neeko leaps into the air and gains a shield. Upon landing, nearby enemies are damaged and stunned. The preparation is hidden if Neeko is disguised.",Inherent Glamour,Neeko can look like an ally champion. Taking damage from enemy Champions or casting damaging spells breaks the disguise.,,Neeko,,,,,,,,,,,,
52,20,Nunu & Willump,the Boy and His Yeti,Sasquatch Nunu & Willump,Workshop Nunu & Willump,Grungy Nunu & Willump,Nunu & Willump Bot,Demolisher Nunu & Willump,TPA Nunu & Willump,Zombie Nunu & Willump,Papercraft Nunu & Willump,Space Groove Nunu & Willump,,,,,,,"Once upon a time, there was a boy who wanted to prove he was a hero by slaying a fearsome monster—only to discover that the beast, a lonely and magical yeti, merely needed a friend. Bound together by ancient power and a shared love of snowballs, Nunu and Willump now ramble wildly across the Freljord, breathing life into imagined adventures. They hope that somewhere out there, they will find Nunu's mother. If they can save her, maybe they will be heroes after all…",Consume allows Nunu to stay in a lane against ranged opponents.,You can choose to interrupt Absolute Zero early for partial damage if an opponent is about to run out of range.,It's often beneficial to delay the casting of Absolute Zero until the initial round of disables are used. Try to hang back before rushing into a team fight.,,,Interrupting the charge up on Absolute Zero will lower the amount of damage your team takes.,Using Summoner Flash is a surefire way to escape Absolute Zero.,"Biggest Snowball Ever moves very fast but cannot turn as quickly, so don't try to escape it by running away in a straight line.  Instead, make sudden, sharp turns.",,Tank,Fighter,Mana,4,6,7,4,540.0,82,280.0,42.0,345,29,3.0,32.0,1.25,125,5.0,0.8,7.0,0.5,61.0,3.0,2.25,0.625,Consume,"Willump takes a bite out of a minion, monster, or enemy champion, dealing damage and healing himself.",Biggest Snowball Ever!,Willump creates a snowball that grows in size and speed as he rolls it.  The snowball damages and knocks up enemies.,Snowball Barrage,"Nunu throws multiple snowballs that damage enemies.  When he's finished, Willump roots any champions or large monsters that were hit by a snowball.",Absolute Zero,Nunu & Willump create a powerful blizzard in an area that slows enemies and deals massive damage at the end.,Call of the Freljord,"Nunu increases the attack speed and movement speed of Willump and a nearby ally, and causes Willump's basic attacks to damage enemies around the target.",Willump,,,Nunu,,,,,,,Freljord,,,
53,78,Poppy,Keeper of the Hammer,Noxus Poppy,Lollipoppy,Blacksmith Poppy,Ragdoll Poppy,Battle Regalia Poppy,Scarlet Hammer Poppy,Star Guardian Poppy,Snow Fawn Poppy,Hextech Poppy,Astronaut Poppy,Bewitching Poppy,,,,,"Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled “Hero of Demacia,” said to be its rightful wielder. Until then, she dutifully charges into battle, pushing back the kingdom's enemies with every whirling strike.","Iron Ambassador tends to land near walls, try to take advantage of this with Heroic Charge.","Keeper's Verdict can be released immediately to send the enemy straight up, take advantage of this in duels.",,,,Poppy can stop nearby enemies from dashing with Steadfast Presence.,"When Poppy starts to spin her hammer, she is charging Keeper's Verdict.",You can step on Poppy's shield to deny it from her.,,Tank,Fighter,Mana,6,7,2,6,540.0,90,280.0,40.0,345,38,3.5,32.0,1.25,125,8.0,0.8,7.0,0.7,64.0,4.0,2.5,0.625,Hammer Shock,"Poppy swings her hammer, dealing damage and creating a zone that will slow enemies and explode after a delay.",Steadfast Presence,"Poppy passively gains Armor and Magic Resist. This bonus increases when she is low on Health. Poppy can activate Steadfast Presence to gain movement speed and stop enemy dashes around her. If a dash is stopped, the enemy is slowed and grounded.",Heroic Charge,"Poppy dashes to the target and pushes it back. If the target is pushed into a wall, it is stunned.",Keeper's Verdict,Poppy channels a hammer strike that knocks enemies very far away.,Iron Ambassador,Poppy throws her buckler that bounces off the target. Poppy can pick it up to gain a temporary shield.,,Runeterra,,,Hero of Demacia,Poppy,,,,,,,,
54,497,Rakan,The Charmer,Cosmic Dawn Rakan,Sweetheart Rakan,SSG Rakan,iG Rakan,Star Guardian Rakan,Elderwood Rakan,,,,,,,,,,"As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties, and anarchic music. Few would suspect this energetic, traveling showman is also partner to the rebel Xayah, and is dedicated to her cause.",Rakan requires allies near him to make the most out of his tools.,Rakan's dash speeds increase with his movement speed. Use the extra speed to surprise your enemies!,Danger is as fun as you let it be.,,,Rakan's movement abilities forecast their destination. Try to use this to your advantage.,Champions with crowd control that can be applied quickly excel against Rakan.,Catching Rakan with no allies around severely inhibits his mobility. Try to find him alone.,,Support,,Mana,2,4,8,5,540.0,85,315.0,50.0,335,32,3.9,32.0,1.25,300,5.0,0.5,8.75,0.5,62.0,3.5,3.0,0.635,Gleaming Quill,Flings a magical feather that deals magic damage. Striking a champion or epic monster enables Rakan to heal his allies.,Grand Entrance,"Dashes to a location, knocking up nearby enemies on arrival.",Battle Dance,Flies to an allied champion granting them a shield. Can be re-cast for free for a short duration.,The Quickness,"Gains movement speed, charming and dealing magic damage to enemies touched.",Fey Feathers,Rakan periodically gains a shield.,Lhotlan,Rakan,,,,Xayah,Ionian,,,,,,,
55,201,Braum,the Heart of the Freljord,Dragonslayer Braum,El Tigre Braum,Braum Lionheart,Santa Braum,Crime City Braum,Sugar Rush Braum,Pool Party Braum,,,,,,,,,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into rubble. Bearing an enchanted vault door as his shield, Braum roams the frozen north sporting a mustachioed smile as big as his muscles—a true friend to all those in need.","Work with your allies to stack Concussive Blows, encourage them to basic attack marked targets.",Leap in front of squishy friends and shield them from projectiles with Unbreakable.,"Glacial Fissure leaves a powerful slow zone, position it well to split teamfights and slow the enemy approach.",,,"Braum must land Winter's Bite or a basic attack to start Concussive Blows. If you get marked, exit combat range before getting hit 3 more times to avoid the stun.","Braum's ultimate has a long cast time, use that extra time to dodge. Walking over the frozen ground left behind will slow you, position so that you don't need to cross it.","Unbreakable gives Braum extremely strong directional defense, either wait until it is down or outposition the ability.",,Support,Tank,Mana,3,9,4,3,540.0,98,311.0,45.0,335,47,4.0,32.0,1.25,125,8.5,1.0,6.0,0.8,55.0,3.2,3.5,0.644,Winter's Bite,"Braum propels freezing ice from his shield, slowing and dealing magic damage.<br><br>Applies a stack of <font color='#FFF673'>Concussive Blows</font>.",Stand Behind Me,"Braum leaps to a target allied champion or minion. On arrival, Braum and the ally gain Armor and Magic Resist for a few seconds.",Unbreakable,"Braum raises his shield in a direction for several seconds, intercepting all projectiles causing them to hit him and be destroyed. He negates the damage of the first attack completely and reduces the damage of all subsequent attacks from this direction.",Glacial Fissure,"Braum slams the ground, knocking up enemies nearby and in a line in front of him. A fissure is left along the line that slows enemies.",Concussive Blows,"Braum's basic attacks apply Concussive Blows. Once the first stack is applied, <font color='#FFF673'>ally</font> basic attacks also stack Concussive Blows. <br><br>Upon reaching 4 stacks, the target is stunned and takes magic damage. For the next few seconds they cannot receive new stacks, but take bonus magic damage from Braum's attacks.",,Braum,,Freljord,,,Frostheld,,,,,,,
56,62,Wukong,the Monkey King,Volcanic Wukong,General Wukong,Jade Dragon Wukong,Underworld Wukong,Radiant Wukong,Lancer Stratus Wukong,Battle Academia Wukong,,,,,,,,,"Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial art known as Wuju. Armed with an enchanted staff, Wukong seeks to prevent Ionia from falling to ruin.",Decoy and Nimbus Strike work well together to quickly strike your enemy and get out before they can retaliate.,Try using Decoy near brush to make an enemy overreact to your movement.,,,,Wukong will often use Decoy after Nimbus Strike. Try delaying your abilities by a short amount of time to ensure that you're hitting the real Wukong.,Wukong becomes tougher to kill when surrounded by his enemies. Try to isolate him to gain an advantage.,,,Fighter,Tank,Mana,8,5,2,3,540.0,85,300.0,65.0,345,31,3.5,28.0,1.25,175,2.5,0.65,8.0,0.65,68.0,3.5,3.0,0.711,Crushing Blow,"Wukong's next attack gains attack range, deals bonus damage, and reduces the target's armor for a few seconds.",Warrior Trickster,"Wukong becomes <font color='#91d7ee'>Invisible</font> and dashes in a direction, leaving behind a clone that will attack nearby enemies.",Nimbus Strike,"Wukong dashes to a targeted enemy and sends out images to attack enemies near his target, dealing damage to each enemy struck.",Cyclone,"Wukong's extends his staff and spins it around repeatedly, gaining Movement Speed.<br><br>Enemies struck take damage and are knocked up.",Stone Skin,Wukong gains stacking armor and max health regeneration while fighting champions and monsters.,,Wukong,,Wuju,,,,,,,Ionia,,,
57,98,Shen,the Eye of Twilight,Frozen Shen,Yellow Jacket Shen,Surgeon Shen,Blood Moon Shen,Warlord Shen,TPA Shen,Pulsefire Shen,Infernal Shen,PsyOps Shen,,,,,,,"Among the secretive, Ionian warriors known as the Kinkou, Shen serves as their leader, the Eye of Twilight. He longs to remain free from the confusion of emotion, prejudice, and ego, and walks the unseen path of dispassionate judgment between the spirit realm and the physical world. Tasked with enforcing the equilibrium between them, Shen wields blades of steel and arcane energy against any who would threaten it.",Keep an eye on allies and be ready to save them with your teleport.,Leverage your Energy to get a long-term advantage over Mana users.,,,,Be ready to dodge Shen's taunt and punish him if he misses.,"Once Shen reaches level 6, watch out for his global-range ultimate, which can turn fights quickly.",,,Tank,,Energy,3,9,3,4,540.0,85,400.0,0.0,340,34,3.0,32.0,1.25,125,8.5,0.75,50.0,0.0,60.0,3.0,3.0,0.7509999999999999,Twilight Assault,"Shen recalls his spirit blade to attack with it, dealing damage based on the target's max health. The attacks are greatly empowered if it collides with an enemy champion, and all collided enemies are slowed while running away from Shen.",Spirit's Refuge,Attacks that would hit Shen or his allies near his spirit blade are blocked.,Shadow Dash,"Shen dashes in a direction, taunting enemies in his path.",Stand United,"Shen shields target allied champion from incoming damage, and soon after teleports to their location.",Ki Barrier,"After casting a spell, Shen gets a shield. Affecting other champions reduces the cooldown of this effect.",Kinkou,Shen,,,,,Ionian,,,,,,,
58,85,Kennen,the Heart of the Tempest,Deadly Kennen,Swamp Master Kennen,Karate Kennen,Kennen M.D.,Arctic Ops Kennen,Blood Moon Kennen,Super Kennen,Infernal Kennen,DWG Kennen,,,,,,,"More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his master Shen, Kennen patrols the spirit realm, employing devastating electrical energy to strike down his enemies.",You can stun your opponents by inflicting 3 Marks of the Storm upon them.,"Lightning Rush can be used to initiate fights with its Energy return component, allowing him to use other abilities afterward.","You can land an initial Mark of the Storm debuff on an opponent with Thundering Shuriken, and then add to it with Electrical Surge.",,,"Consider playing a bit more cautiously around Kennen when you have a Mark of the Storm debuff. If he hits you with 3 Marks of the Storm, you will get stunned.",Kennen is flimsy by nature - turn and attack him if he gets careless with Lightning Rush.,,,Mage,Marksman,Energy,6,4,7,4,541.0,84,200.0,0.0,335,29,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,48.0,3.75,3.4,0.625,Thundering Shuriken,"Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits.",Electrical Surge,"Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked.",Lightning Rush,"Kennen morphs into a lightning form, enabling him to pass through units and apply a Mark of the Storm. Kennen gains movement speed when entering this form, and attack speed when leaving it.",Slicing Maelstrom,Kennen summons a storm that strikes at nearby enemy champions for magical damage.,Mark of the Storm,Kennen stuns enemies he hits 3 times with his abilities.,Kinkou,Kennen,,,,Shen,Ionian,,,,,,,
59,14,Sion,The Undead Juggernaut,Hextech Sion,Barbarian Sion,Lumberjack Sion,Warmonger Sion,Mecha Zero Sion,Worldbreaker Sion,Blackfrost Sion,,,,,,,,,"A war hero from a bygone era, Sion was revered in Noxus for choking the life out of a Demacian king with his bare hands—but, denied oblivion, he was resurrected to serve his empire even in death. His indiscriminate slaughter claimed all who stood in his way, regardless of allegiance, proving he no longer retained his former humanity. Even so, with crude armor bolted onto rotten flesh, Sion continues to charge into battle with reckless abandon, struggling to remember his true self between the swings of his mighty axe.","You only have very slight turning ability during Unstoppable Onslaught, so make sure to use it in straight paths.",Roar of the Slayer is a great setup ability to land a very powerful Decimating Smash.,"The Soul Furnace buff displays how much shield strength is remaining, use this information to time its explosion perfectly.",,,"Even if Sion still hits a Decimating Smash, making him release the charge earlier reduces its impact.",Use the time after Sion has died to reposition and prepare for his return.,,,Tank,Fighter,Mana,5,9,3,5,545.0,73,330.0,42.0,345,32,3.0,32.0,1.25,175,7.5,0.8,8.0,0.6,68.0,4.0,1.3,0.679,Decimating Smash,"Sion charges a powerful swing in an area in front of himself that will deal damage to enemies when released. If he charges for enough time, enemies hit by the swing will also be knocked up and stunned.",Soul Furnace,"Sion shields himself and can reactivate after 3 seconds to deal Magic Damage to enemies nearby. When Sion kills enemies, he passively gains maximum Health.",Roar of the Slayer,"Sion fires a short range shockwave that damages and slows and reduces the Armor of the first enemy hit. If the shockwave hits a minion or monster, it will be knocked back, damaging, slowing, and reducing the Armor of all enemies that it passes through.",Unstoppable Onslaught,"Sion charges in a direction, ramping up speed over time. He can steer his charge slightly with the mouse cursor location. When he collides with an enemy he deals damage and knocks them up based on the distance he has charged.",Glory in Death,"After being killed, Sion will temporarily reanimate with rapidly decaying Health. His attacks become very rapid, heal him, and deal bonus damage based on his target's maximum Health.",Noxus,Sion,,,,,Demacian,,,,,,,
60,30,Karthus,the Deathsinger,Phantom Karthus,Statue of Karthus,Grim Reaper Karthus,Pentakill Karthus,Fnatic Karthus,Karthus Lightsbane,Infernal Karthus,Pentakill III: Lost Chapter Karthus,,,,,,,,"The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of life and death. When Karthus emerges from the Shadow Isles, it is to bring the joy of death to mortals, an apostle of the unliving.",Ask your allies to help point out when you should use Requiem to get kills in different lanes.,Lay Waste is very strong at farming minions and harassing enemy champions.,,,,Karthus can cast spells for a short duration after he is killed. Move away from his corpse to be safe.,"Make sure you always have enough health to survive Requiem, even if you have to go back to the base more frequently to heal.",,,Mage,,Mana,2,2,10,7,550.0,87,467.0,30.5,335,18,3.5,30.0,0.5,450,6.5,0.55,8.0,0.8,46.0,3.25,2.11,0.625,Lay Waste,"Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies. Deals increased damage to isolated enemies. ",Wall of Pain,Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Movement Speed and Magic Resist reduced for a period.,Defile,"Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana.",Requiem,"After channeling for 3 seconds, Karthus deals damage to all enemy champions.",Death Defied,"Upon dying, Karthus enters a spirit form that allows him to continue casting spells.",,Karthus,,,,,,,the Shadow Isles,,,,,
61,777,Yone,the Unforgotten,Spirit Blossom Yone,Battle Academia Yone,Dawnbringer Yone,,,,,,,,,,,,,"In life, he was Yone—half-brother of Yasuo, and renowned student of his village's sword school. But upon his death at the hands of his brother, he found himself hunted by a malevolent entity of the spirit realm, and was forced to slay it with its own sword. Now, cursed to wear its demonic mask upon his face, Yone tirelessly hunts all such creatures in order to understand what he has become.",,,,,,,,,,Assassin,Fighter,Flow,8,4,4,8,550.0,85,500.0,0.0,345,28,3.4,32.0,1.25,175,7.5,0.75,0.0,0.0,60.0,2.0,3.5,0.625,Mortal Steel,"Thrusts forward, damaging all enemies in a line.<br><br>On hit, grants a stack of Gathering Storm for a few seconds. At 2 stacks, Mortal Steel dashes Yone forward with a gust of wind knocking enemies <status>Airborne</status>.<br><br>Mortal Steel is treated as a basic attack and scales with all the same things.",Spirit Cleave,"Cleaves forward, damaging all enemies in a cone. Grants a shield to Yone, the value is increased by the number of champions hit by the swipe.<br><br>Spirit Cleave's cooldown and cast time scale with attack speed.",Soul Unbound,"Yone's spirit leaves his body behind, gaining movement speed. When this skill ends, Yone's spirit is forced back to his body and he repeats a portion of the damage he dealt as a spirit.",Fate Sealed,Yone blinks behind the last champion in a line with a slash so powerful it pulls all enemies hit towards him.,Way of the Hunter,"Yone deals magic damage with every second Attack. In addition, his critical strike chance is increased.",,Yasuo,,,,,,,,,,,,
